住む,to live すむ
去年,last year きょねん
死ぬ,to die しぬ
集める,to collect あつめる
集まる,to gather あつまる
知る,to know しる
売る,to sell うる
説明する,to explain せつめいする
小説,novel しょうせつ
思う,to think おもう
思い出す,to recall おもいだす
